




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27436)	upload_1 (593)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of flavonol biosynthetic process (GO:1900386)	3	3	.06	+	46.27	1.00E-05	1.35E-03
regulation of carbohydrate utilization (GO:0043610)	2	2	.04	+	46.27	4.66E-04	3.16E-02
nitrotoluene catabolic process (GO:0046263)	2	2	.04	+	46.27	4.66E-04	3.12E-02
trinitrotoluene catabolic process (GO:0046260)	2	2	.04	+	46.27	4.66E-04	3.09E-02
2,4,6-trinitrotoluene catabolic process (GO:0046256)	2	2	.04	+	46.27	4.66E-04	3.05E-02
toluene-containing compound catabolic process (GO:0072491)	2	2	.04	+	46.27	4.66E-04	3.02E-02
toluene-containing compound metabolic process (GO:0072490)	2	2	.04	+	46.27	4.66E-04	2.98E-02
plastid inner membrane organization (GO:0009667)	2	2	.04	+	46.27	4.66E-04	2.95E-02
2,4,6-trinitrotoluene metabolic process (GO:0018974)	2	2	.04	+	46.27	4.66E-04	2.91E-02
trinitrotoluene metabolic process (GO:0018973)	2	2	.04	+	46.27	4.66E-04	2.88E-02
chloroplast elongation (GO:0010151)	2	2	.04	+	46.27	4.66E-04	2.85E-02
nitrotoluene metabolic process (GO:0019326)	2	2	.04	+	46.27	4.66E-04	2.82E-02
regulation of flavonol biosynthetic process (GO:1900384)	5	4	.11	+	37.01	1.06E-06	1.87E-04
cellular response to UV-A (GO:0071492)	4	3	.09	+	34.70	3.95E-05	4.04E-03
response to UV-A (GO:0070141)	4	3	.09	+	34.70	3.95E-05	3.97E-03
cellular response to high light intensity (GO:0071486)	6	3	.13	+	23.13	1.91E-04	1.56E-02
positive regulation of flavonoid biosynthetic process (GO:0009963)	12	6	.26	+	23.13	8.22E-08	2.20E-05
positive regulation of anthocyanin metabolic process (GO:0031539)	6	3	.13	+	23.13	1.91E-04	1.54E-02
PSII associated light-harvesting complex II catabolic process (GO:0010304)	8	3	.17	+	17.35	5.19E-04	3.10E-02
anthocyanin-containing compound biosynthetic process (GO:0009718)	19	7	.41	+	17.05	8.55E-08	2.19E-05
cellular response to blue light (GO:0071483)	28	10	.61	+	16.52	1.91E-10	7.67E-08
regulation of flavonoid biosynthetic process (GO:0009962)	28	10	.61	+	16.52	1.91E-10	7.16E-08
