Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ath01110:Biosynthesis of secondary metabolites	67	10.806451612903226	1.339926763868991E-10	AT5G17050, AT1G60270, AT1G06030, AT4G25700, AT4G14090, AT5G24140, AT4G11570, AT1G67070, AT2G20340, AT4G37760, AT1G17050, AT3G61220, AT1G78510, AT5G56090, AT5G52570, AT3G25180, AT5G15180, AT3G29200, AT1G14540, AT1G12240, AT3G25760, AT3G21560, AT1G67990, AT4G22880, AT4G28420, AT5G13930, AT4G08040, AT5G05270, AT3G10280, AT3G19450, AT2G02000, AT1G42550, AT1G78440, AT3G01260, AT4G26850, AT3G51240, AT3G55120, AT1G80340, AT4G35090, AT3G30180, AT4G21200, AT1G65060, AT2G36750, AT3G01420, AT5G58770, AT1G02205, AT5G36140, AT5G06730, AT2G02010, AT4G32770, AT1G66840, AT2G29090, AT2G36800, AT3G19160, AT5G24150, AT4G27550, AT3G25820, AT5G13630, AT2G27820, AT4G33070, AT5G08640, AT1G22380, AT1G52570, AT1G20480, AT5G53970	138	1287	5490	2.071044897131854	1.0719416354554312E-8	1.0719414110951927E-8	1.0049450729017432E-8
KEGG_PATHWAY	ath04712:Circadian rhythm - plant	10	1.6129032258064515	5.130827926715433E-7	AT5G13930, AT3G15354, AT5G23730, AT1G56650, AT3G17609, AT5G11260, AT2G46790, AT5G52250, AT2G46340, AT1G53090	138	41	5490	9.703075291622481	4.104579154440291E-5	2.0523311706861734E-5	1.9240604725182875E-5
KEGG_PATHWAY	ath00941:Flavonoid biosynthesis	6	0.967741935483871	3.196018862402035E-4	AT5G13930, AT3G51240, AT5G05270, AT3G55120, AT5G08640, AT4G22880	138	25	5490	9.54782608695652	0.02524803730496017	0.008522716966405428	0.007990047156005087
KEGG_PATHWAY	ath00909:Sesquiterpenoid and triterpenoid biosynthesis	5	0.8064516129032258	0.002272396274953952	AT4G37760, AT1G78500, AT5G24140, AT5G36150, AT5G24150	138	23	5490	8.648393194706994	0.1663974648950366	0.045447925499079035	0.042607430155386594
KEGG_PATHWAY	ath01100:Metabolic pathways	77	12.419354838709678	0.0035862198403340964	AT1G10370, AT5G17050, AT1G60270, AT1G06030, AT4G25700, AT4G23600, AT5G24140, AT2G38230, AT3G02810, AT4G11570, ATCG00020, AT1G67070, AT2G20340, AT4G37760, AT1G17170, AT1G17050, AT1G78510, AT5G56090, AT1G76570, AT5G52570, AT5G15180, AT3G29200, AT1G43800, AT1G14540, AT1G12240, AT3G25760, AT4G22880, AT5G24090, AT4G28420, AT5G13930, AT3G14040, AT1G17180, AT4G08040, AT5G05270, ATCG01060, AT3G10280, AT3G19450, AT2G02000, AT1G53680, AT4G31870, AT1G42550, AT3G01260, AT4G26850, AT3G51240, AT3G55120, AT1G80340, AT4G35090, AT3G30180, AT1G65060, AT3G23810, AT5G36140, AT1G69940, AT5G06730, AT2G02010, AT4G32770, AT5G17220, AT1G66840, AT4G18180, AT3G19160, AT5G20070, AT5G24150, AT1G56600, AT4G27550, AT3G25820, AT5G13630, AT2G27820, AT4G33070, AT5G08640, AT1G52570, AT1G20480, AT5G53970, AT1G78340, AT3G14940, AT1G05660, AT4G39650, AT5G01410, AT2G43890	138	2405	5490	1.2737051432703608	0.24979836309712655	0.05737951744534554	0.05379329760501145
KEGG_PATHWAY	ath00902:Monoterpenoid biosynthesis	3	0.4838709677419355	0.011957730392948118	AT3G61220, AT3G25820	138	7	5490	17.049689440993788	0.6180188173654074	0.1523154861454366	0.1427957682613468
KEGG_PATHWAY	ath00480:Glutathione metabolism	8	1.2903225806451613	0.013327605037725702	AT1G10370, AT1G17180, AT1G17170, AT5G17220, AT1G53680, AT1G78340, AT4G31870, AT4G39650	138	102	5490	3.120204603580563	0.6581479273217998	0.1523154861454366	0.1427957682613468
KEGG_PATHWAY	ath00904:Diterpenoid biosynthesis	4	0.6451612903225806	0.02340725174946085	AT1G80340, AT4G21200, AT1G78440, AT3G25180	138	25	5490	6.3652173913043475	0.8496582482045973	0.2340725174946085	0.21944298515119548
KEGG_PATHWAY	ath00430:Taurine and hypotaurine metabolism	3	0.4838709677419355	0.02933853278586051	AT2G02000, AT2G02010, AT4G39650	138	11	5490	10.849802371541502	0.9076529202281325	0.26078695809653785	0.24448777321550427
KEGG_PATHWAY	ath00908:Zeatin biosynthesis	4	0.6451612903225806	0.044521224370405205	AT1G22380, AT2G36800, AT3G19160, AT2G36750	138	32	5490	4.9728260869565215	0.9738372404672595	0.35616979496324164	0.33390918277803905
KEGG_PATHWAY	ath00942:Anthocyanin biosynthesis	2	0.3225806451612903	0.04929063292957577	AT4G14090, AT5G54060	138	2	5490	39.78260869565217	0.9824683887098775	0.3584773303969147	0.3360724972471075
KEGG_PATHWAY	ath00130:Ubiquinone and other terpenoid-quinone biosynthesis	4	0.6451612903225806	0.07243525643729569	AT5G53970, AT1G65060, AT4G32770, AT4G28420	138	39	5490	4.080267558528428	0.997559163826971	0.48290170958197126	0.4527203527330981
KEGG_PATHWAY	ath00944:Flavone and flavonol biosynthesis	2	0.3225806451612903	0.09616856267636538	AT5G17050, AT1G30530	138	4	5490	19.891304347826086	0.9996931010228276	0.5507138865569208	0.5162942686471133
KEGG_PATHWAY	ath00940:Phenylpropanoid biosynthesis	7	1.129032258064516	0.09969733034718267	AT5G15180, AT1G14540, AT3G19450, AT3G21560, AT1G67990, AT5G06730, AT1G65060	138	128	5490	2.1756114130434785	0.9997755689009542	0.5507138865569208	0.5162942686471133
