baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G04187	157.867038942915	1.13456678855154	0.259398456752892	4.37383785067136	1.22081071622622e-05	0.00455256239698796
AT1G03982	269.943239481387	-1.14312073466759	0.312582029217362	-3.65702640529181	0.000255158104524903	0.0311159866707597
AT1G04370	149.740842455732	-1.41571252322233	0.379099242009714	-3.73441137923999	0.000188154729059945	0.0266011501837442
AT1G07180	1187.67280273614	-1.27034449912762	0.336315715120908	-3.7772379999279	0.0001585771808303	0.0238616926312541
AT1G09110	29.6584357688944	-1.80156930752486	0.472675259573116	-3.8114313601941	0.000138164422809961	0.0225882507918278
AT1G16400	618.147309241319	1.34721906952649	0.268118665262531	5.02471198044847	5.04188625151975e-07	0.000411569886146159
AT1G05557	273.747876028199	-1.01917264224296	0.251051435223261	-4.05961687228197	4.91533007414303e-05	0.0113942664988986
AT1G20470	248.872665439364	-1.18223800675658	0.235184785880536	-5.02684730362239	4.98609057377528e-07	0.000411569886146159
AT1G23160	876.894642493647	-1.43302258961911	0.316808972864889	-4.52330177602091	6.08823376546919e-06	0.00274835689507523
AT1G27670	989.830466272001	-1.05835098363209	0.219120128626872	-4.83000347920705	1.36530664842067e-06	0.000836445365964579
AT1G30190	415.417138871623	-1.2991007287212	0.341687520824975	-3.80201397342413	0.000143524630302052	0.0230814516393881
AT1G44318	701.965102229385	-1.19843686080088	0.263953601979135	-4.54033152726445	5.61658428536791e-06	0.0025807201829786
AT1G47130	4750.84952918936	-1.11837043768097	0.282881333144884	-3.95349677282582	7.70173031810985e-05	0.015262683641252
AT1G07493	45.9935227128795	-1.20490860141201	0.34669988133789	-3.47536490858421	0.000510158870399835	0.0472190571735905
AT1G49450	1614.94852870922	-1.23235809077325	0.330145624632113	-3.73277123434995	0.000189384586105042	0.0266287146725073
AT1G07657	396.968968348079	-1.1828995621551	0.20930702059904	-5.65150446826684	1.59049552224946e-08	3.72045820754552e-05
AT1G54950	22.017150619165	1.71114121887551	0.491625320747245	3.48057991861498	0.000500329533673941	0.0468105417650953
AT1G58050	24.9866687262353	-2.13783597986822	0.514940708693978	-4.15161579532199	3.30136154153796e-05	0.00900407872153022
AT1G64110	968.30366333451	-1.55222070159741	0.42745669034703	-3.63129350095618	0.000282004251827419	0.0329829609262333
AT1G65390	41565.910028771	-1.05433526658526	0.247701315338639	-4.2564782715984	2.07672209198764e-05	0.00662200738518811
AT1G66100	882.965069105129	-1.57718219082874	0.434051073645952	-3.63363273722764	0.000279458573755834	0.0328344683164903
AT1G67110	64.1583794558541	-1.49652535550511	0.39507083186463	-3.78799251881469	0.000151869421355331	0.0235782852612004
AT1G08947	581.422805001952	1.18346826294209	0.317198544045307	3.73100156088059	0.000190720041855621	0.0266707467227554
AT1G69530	9050.31081337148	1.32255271263728	0.323129750002123	4.09294629364392	4.25926398957818e-05	0.0103872383576215
